sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
PSMC5_sg722	PSMC5	10272/10164	9017.2/8984.7	10218	9001	-0.1829	3205.1	33089	6.689	1.1232e-11	1	2.2464e-11	2.224e-08	False
PSMC5_sg721	PSMC5	15185/15097	13942/13631	15141	13786	-0.1352	26180	49032	6.1172	4.763e-10	1	9.5259e-10	4.7153e-07	False
PSMB1_sg698	PSMB1	10599/10555	9610.8/9382.3	10577	9496.6	-0.15544	13539	34252	5.8378	2.6448e-09	1	5.2897e-09	1.597e-06	False
PSMB1_sg692	PSMB1	10595/10474	9520.1/8967.2	10534	9243.7	-0.18852	80057	49428	5.8046	3.2263e-09	1	6.4525e-09	1.597e-06	False
PSMC3_sg714	PSMC3	10794/10967	9835.5/9932.9	10880	9884.2	-0.13853	9857.2	35235	5.3074	5.5606e-08	1	1.1121e-07	1.8165e-05	False
PSMB1_sg695	PSMB1	20688/20476	19441/18989	20582	19215	-0.099165	62462	66653	5.296	5.9186e-08	1	1.1837e-07	1.8165e-05	False
PSMC5_sg726	PSMC5	10357/10224	9429.4/8935.6	10291	9182.5	-0.16436	65437	44029	5.2811	6.4219e-08	1	1.2844e-07	1.8165e-05	False
PSMB1_sg696	PSMB1	22481/22917	21283/20425	22699	20854	-0.12229	2.3178e+05	1.2626e+05	5.1921	1.0399e-07	1	2.0798e-07	2.5738e-05	False
PSMC5_sg728	PSMC5	23840/23802	22643/21997	23821	22320	-0.093898	1.0466e+05	86315	5.1093	1.617e-07	1	3.2341e-07	3.5575e-05	False
PSMB1_sg699	PSMB1	13690/13573	12714/12476	13631	12595	-0.11409	17516	44143	4.9334	4.0396e-07	1	8.0791e-07	7.9983e-05	False
PSMB1_sg691	PSMB1	13058/13392	12242/11570	13225	11906	-0.15157	1.4068e+05	75444	4.8023	7.8443e-07	1	1.5689e-06	0.00013179	False
PSMC3_sg713	PSMC3	16087/15648	14705/13871	15867	14288	-0.15125	2.2221e+05	1.0833e+05	4.7986	7.9874e-07	1	1.5975e-06	0.00013179	False
PSMC5_sg724	PSMC5	11533/11479	10831/10608	11506	10720	-0.10211	13180	37260	4.0733	2.3176e-05	0.99998	4.6352e-05	0.0035299	False
PSMC5_sg729	PSMC5	7757.7/7756.1	7094.5/7165.9	7756.9	7130.2	-0.12152	1276.8	25120	3.9541	3.8415e-05	0.99996	7.683e-05	0.0053195	False
PSMC3_sg718	PSMC3	10937/11056	10363/10143	10997	10253	-0.10106	15614	35611	3.9426	4.0299e-05	0.99996	8.0599e-05	0.0053195	False
PSMB1_sg693	PSMB1	7718.2/7879.6	7317.2/7040.3	7798.9	7178.7	-0.11952	25677	25396	3.8915	4.9812e-05	0.99995	9.9624e-05	0.0061643	False
PSMC1_sg702	PSMC1	17794/17836	17174/16530	17815	16852	-0.080149	1.0419e+05	73189	3.5587	0.00018634	0.99981	0.00037267	0.021703	False
DKK4_sg214	DKK4	3417.6/3354.2	2943.6/3165.7	3385.9	3054.6	-0.14849	13332	11754	3.0554	0.0011236	0.99888	0.0022473	0.1236	False
POLR3K_sg659	POLR3K	23009/23485	22557/22271	23247	22414	-0.052602	77112	75891	3.0215	0.0012577	0.99874	0.0025154	0.12753	False
PSMC5_sg727	PSMC5	11133/11447	10748/10680	11290	10714	-0.075588	25830	36562	3.0142	0.0012882	0.99871	0.0025763	0.12753	False
PSMC1_sg708	PSMC1	21990/22102	21287/21228	22046	21258	-0.052539	4000.8	71394	2.9508	0.0015846	0.99842	0.0031692	0.14941	False
PSMC1_sg701	PSMC1	15788/14421	14073/13426	15105	13750	-0.13559	5.72e+05	2.2328e+05	2.8677	0.0020675	0.99793	0.0041349	0.18607	False
CDC123_sg128	CDC123	9521.2/9409.5	9949.4/9972.2	9465.3	9960.8	0.073604	3251.4	30652	2.8301	0.99767	0.0023265	0.0046531	0.20028	True
EPN2_sg293	EPN2	532.99/467.46	416.2/267.63	500.22	341.91	-0.54761	6591.5	3277.1	2.7654	0.0028424	0.99716	0.0056847	0.23449	False
