gene	condition	intervention	replicate	gene_conditions	gamma	beta	affinity	l	readout
POLR1B	C0	S0	R0	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.10628998458392408
POLR1B	C0	S0	R1	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.10403462936129416
POLR1B	C0	S0	R2	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.08310306094524558
POLR1B	C0	S0	R3	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.029533842424773502
POLR1B	C0	S0	R4	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.0014834268766882042
POLR1B	C0	S0	R5	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.06553066532497434
POLR1B	C0	S0	R6	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.23748699415929697
POLR1B	C0	S0	R7	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.18304044282724516
POLR1B	C0	S0	R8	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.054572155965931735
POLR1B	C0	S0	R9	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.24162988809188693
POLR1B	C0	S1	R0	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.15230991963947238
POLR1B	C0	S1	R1	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.03748168699137961
POLR1B	C0	S1	R2	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.11547086766863363
POLR1B	C0	S1	R3	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.0024295954659492025
POLR1B	C0	S1	R4	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.09334350883782502
POLR1B	C0	S1	R5	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.044472132134229306
POLR1B	C0	S1	R6	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.02129448709789872
POLR1B	C0	S1	R7	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.06871761936761757
POLR1B	C0	S1	R8	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.07265721246435602
POLR1B	C0	S1	R9	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.19223960793351594
POLR1B	C0	S2	R0	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.07383876097440878
POLR1B	C0	S2	R1	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.016789939500400378
POLR1B	C0	S2	R2	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.07911057487873974
POLR1B	C0	S2	R3	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.13010020068518474
POLR1B	C0	S2	R4	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.13995241702187744
POLR1B	C0	S2	R5	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.14679197112284031
POLR1B	C0	S2	R6	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.10103580273158462
POLR1B	C0	S2	R7	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.07576160234998726
POLR1B	C0	S2	R8	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.013425891514684957
POLR1B	C0	S2	R9	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.16477790048700194
POLR1B	C0	S3	R0	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.3145250130800684
POLR1B	C0	S3	R1	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.07488835841532837
POLR1B	C0	S3	R2	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.04854607135473016
POLR1B	C0	S3	R3	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.04816522344276059
POLR1B	C0	S3	R4	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.12621281167494494
POLR1B	C0	S3	R5	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.10680534902094749
POLR1B	C0	S3	R6	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.14858048231691545
POLR1B	C0	S3	R7	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.05363757153520521
POLR1B	C0	S3	R8	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.0760898422481163
POLR1B	C0	S3	R9	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.010191946978535399
POLR1B	C0	S4	R0	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.15538268199063487
POLR1B	C0	S4	R1	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.15220007902471533
POLR1B	C0	S4	R2	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.03568880349160475
POLR1B	C0	S4	R3	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.036148374036197
POLR1B	C0	S4	R4	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.13531682018133873
POLR1B	C0	S4	R5	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.036943288656283116
POLR1B	C0	S4	R6	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.022003199359257264
POLR1B	C0	S4	R7	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.1560516892261044
POLR1B	C0	S4	R8	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.008386010390272702
POLR1B	C0	S4	R9	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.18503293356555717
POLR1B	C1	S5	R0	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3441813242219211
POLR1B	C1	S5	R1	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.38921021087491436
POLR1B	C1	S5	R2	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.2906939493178546
POLR1B	C1	S5	R3	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.4190428298158464
POLR1B	C1	S5	R4	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3333472286486379
POLR1B	C1	S5	R5	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.5198922527224716
POLR1B	C1	S5	R6	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.4057589798104674
POLR1B	C1	S5	R7	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.5014770249410188
POLR1B	C1	S5	R8	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.414275938070859
POLR1B	C1	S5	R9	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3838099904872285
POLR1B	C1	S6	R0	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3361839208118592
POLR1B	C1	S6	R1	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.42606116775387115
POLR1B	C1	S6	R2	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.24259625743836324
POLR1B	C1	S6	R3	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.40999703814098176
POLR1B	C1	S6	R4	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.47944181939555053
POLR1B	C1	S6	R5	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.21775862291918469
POLR1B	C1	S6	R6	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3081155884327921
POLR1B	C1	S6	R7	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.37336837285224234
POLR1B	C1	S6	R8	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3748444841404516
POLR1B	C1	S6	R9	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3065223265171936
POLR1B	C1	S7	R0	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.27367556881245964
POLR1B	C1	S7	R1	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.2884874280917984
POLR1B	C1	S7	R2	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.6651588716214875
POLR1B	C1	S7	R3	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3141179123642385
POLR1B	C1	S7	R4	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.417930105699105
POLR1B	C1	S7	R5	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.22818453526742202
POLR1B	C1	S7	R6	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.46033749233090504
POLR1B	C1	S7	R7	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3726095264639323
POLR1B	C1	S7	R8	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3827322416658793
POLR1B	C1	S7	R9	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.28238849671649946
POLR1B	C1	S8	R0	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.4418593186458124
POLR1B	C1	S8	R1	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.35665962179304195
POLR1B	C1	S8	R2	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.523965970120665
POLR1B	C1	S8	R3	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.356641217129923
POLR1B	C1	S8	R4	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.26497742513699124
POLR1B	C1	S8	R5	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.578626850345781
POLR1B	C1	S8	R6	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.43124140306090786
POLR1B	C1	S8	R7	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.29476867754312563
POLR1B	C1	S8	R8	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3788154822976557
POLR1B	C1	S8	R9	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.19548369562015178
POLR1B	C1	S9	R0	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.4816018118671755
POLR1B	C1	S9	R1	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.47440753506179806
POLR1B	C1	S9	R2	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3793982759152124
POLR1B	C1	S9	R3	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3767346561375985
POLR1B	C1	S9	R4	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.18803990471281296
POLR1B	C1	S9	R5	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.2527810830712456
POLR1B	C1	S9	R6	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.33585293898434865
POLR1B	C1	S9	R7	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.5240656332525149
POLR1B	C1	S9	R8	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.3490869945805324
POLR1B	C1	S9	R9	POLR1B-C1	-0.5939136590841896	0.22128529106768202	1.0	0	-0.34411795987433935
POLR2C	C0	S10	R0	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.3521088469250115
POLR2C	C0	S10	R1	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.600933546469178
POLR2C	C0	S10	R2	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.2776388256324132
POLR2C	C0	S10	R3	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.1722886417506702
POLR2C	C0	S10	R4	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.291160639173958
POLR2C	C0	S10	R5	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.397788962505064
POLR2C	C0	S10	R6	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.268051319791839
POLR2C	C0	S10	R7	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.5316796359376914
POLR2C	C0	S10	R8	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.2748253751632808
POLR2C	C0	S10	R9	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.422686369331749
POLR2C	C0	S11	R0	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.3571183533429294
POLR2C	C0	S11	R1	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.1036596963455123
POLR2C	C0	S11	R2	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.2652920650111816
POLR2C	C0	S11	R3	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.3373729482240657
POLR2C	C0	S11	R4	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.311373092957833
POLR2C	C0	S11	R5	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.4554070209604704
POLR2C	C0	S11	R6	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.2683248981870994
POLR2C	C0	S11	R7	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.3167694617381183
POLR2C	C0	S11	R8	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.2490072505702043
POLR2C	C0	S11	R9	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.4427860942361668
POLR2C	C0	S12	R0	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.4693926998843256
POLR2C	C0	S12	R1	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.4826484350359355
POLR2C	C0	S12	R2	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.3655342362461667
POLR2C	C0	S12	R3	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.4000400778499094
POLR2C	C0	S12	R4	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.1616833949255279
POLR2C	C0	S12	R5	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.2984179137180352
POLR2C	C0	S12	R6	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.001108361086785
POLR2C	C0	S12	R7	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.3602302785829967
POLR2C	C0	S12	R8	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.309951400820452
POLR2C	C0	S12	R9	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.408935588246256
POLR2C	C0	S13	R0	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.4965879573206713
POLR2C	C0	S13	R1	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.3580653894197163
POLR2C	C0	S13	R2	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.3210185276054702
POLR2C	C0	S13	R3	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.2295715819337725
POLR2C	C0	S13	R4	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.534195173716753
POLR2C	C0	S13	R5	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.3267961401875585
POLR2C	C0	S13	R6	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.3550489622512163
POLR2C	C0	S13	R7	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.3270941075412417
POLR2C	C0	S13	R8	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.4608014403460552
POLR2C	C0	S13	R9	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.2952764517465996
POLR2C	C0	S14	R0	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.2183633719302194
POLR2C	C0	S14	R1	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.402158336978432
POLR2C	C0	S14	R2	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.4365656350693183
POLR2C	C0	S14	R3	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.389724976876043
POLR2C	C0	S14	R4	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.4235084943737402
POLR2C	C0	S14	R5	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.2441432663926875
POLR2C	C0	S14	R6	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.281394832425965
POLR2C	C0	S14	R7	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.2951019830552597
POLR2C	C0	S14	R8	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.2283783596715874
POLR2C	C0	S14	R9	POLR2C-C0	-1.152939103412519	-0.1885994852491632	1.0	0	-1.3557415389021323
POLR2C	C1	S15	R0	POLR2C-C1	-1.152939103412519	0.31321703880832197	1.0	0	-0.7973804356062123
POLR2C	C1	S15	R1	POLR2C-C1	-1.152939103412519	0.31321703880832197	1.0	0	-0.9389169351325073
POLR2C	C1	S15	R2	POLR2C-C1	-1.152939103412519	0.31321703880832197	1.0	0	-0.9182879187032149
POLR2C	C1	S15	R3	POLR2C-C1	-1.152939103412519	0.31321703880832197	1.0	0	-0.8012032027318865
