gene	condition	intervention	replicate	gene_conditions	gamma	beta	affinity	l	readout
POLR1B	C0	S0	R0	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.7382456197019183
POLR1B	C0	S0	R1	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.8195335405759603
POLR1B	C0	S0	R2	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.7527454051126551
POLR1B	C0	S0	R3	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.6729210504762348
POLR1B	C0	S0	R4	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.7951226723225844
POLR1B	C0	S0	R5	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.7656319498356512
POLR1B	C0	S0	R6	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.7946738671620134
POLR1B	C0	S0	R7	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.8104771612999254
POLR1B	C0	S0	R8	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.7930812102337353
POLR1B	C0	S0	R9	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.7272230570419436
POLR1B	C0	S1	R0	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.8376876320135812
POLR1B	C0	S1	R1	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.7025150273683443
POLR1B	C0	S1	R2	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.5599763794390664
POLR1B	C0	S1	R3	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.6517521810923199
POLR1B	C0	S1	R4	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.7451401523862149
POLR1B	C0	S1	R5	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.8147194935585371
POLR1B	C0	S1	R6	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.8006724265251373
POLR1B	C0	S1	R7	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.5567111370472788
POLR1B	C0	S1	R8	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.7208758216724506
POLR1B	C0	S1	R9	POLR1B-C0	-0.5939136590841896	-0.13204293806586392	1.0	0	-0.7896561618069888
