gene	condition	intervention	replicate	gene_conditions	gamma	beta	affinity	iota	readout
POLR2D	C0	S0	R0	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	0.07730747160291301
POLR2D	C0	S0	R1	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	-0.08526837014517112
POLR2D	C0	S0	R2	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	0.04830790078143947
POLR2D	C0	S0	R3	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	0.20795661005427984
POLR2D	C0	S0	R4	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	-0.03644663363841917
POLR2D	C0	S0	R5	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	0.022534811335447172
POLR2D	C0	S0	R6	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	-0.03554902331727723
POLR2D	C0	S0	R7	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	-0.06715561159310128
POLR2D	C0	S0	R8	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	-0.03236370946072116
POLR2D	C0	S0	R9	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	0.09935259692286239
POLR2D	C0	S1	R0	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.3721784195315712
POLR2D	C0	S1	R1	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.1018332102410972
POLR2D	C0	S1	R2	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	0.18324408561745847
POLR2D	C0	S1	R3	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.00030751768904851984
POLR2D	C0	S1	R4	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.18708346027683864
POLR2D	C0	S1	R5	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.3262421426214829
POLR2D	C0	S1	R6	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.29814800855468315
POLR2D	C0	S1	R7	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	0.18977457040103368
POLR2D	C0	S1	R8	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.13855479884930985
POLR2D	C0	S1	R9	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.2761154791183863
POLR2D	C0	S2	R0	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.6558695906108504
POLR2D	C0	S2	R1	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.2740016602485751
POLR2D	C0	S2	R2	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.6700208970480177
POLR2D	C0	S2	R3	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.5706120656028597
POLR2D	C0	S2	R4	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.6340186235531781
POLR2D	C0	S2	R5	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.7645026568430473
POLR2D	C0	S2	R6	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.9225563271487716
POLR2D	C0	S2	R7	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.7639212320269191
POLR2D	C0	S2	R8	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.7358315342192991
POLR2D	C0	S2	R9	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.576728049307904
POLR2D	C0	S3	R0	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	-0.02493703754774101	-0.5830969519228935
POLR2D	C0	S3	R1	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	-0.02493703754774101	-0.564673218437083
POLR2D	C0	S3	R2	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	-0.02493703754774101	-0.6937761696469427
POLR2D	C0	S3	R3	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	-0.02493703754774101	-0.5738654018436489
POLR2D	C0	S3	R4	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	-0.02493703754774101	-0.901773222897125
POLR2D	C0	S3	R5	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	-0.02493703754774101	-0.5003200036511368
POLR2D	C0	S3	R6	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	-0.02493703754774101	-0.6483076706141927
POLR2D	C0	S3	R7	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	-0.02493703754774101	-0.8105122017183376
POLR2D	C0	S3	R8	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	-0.02493703754774101	-0.653190005390295
POLR2D	C0	S3	R9	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	-0.02493703754774101	-0.7660079773020056
POLR2D	C0	S4	R0	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.1462107937044974	-0.3534199259552706
POLR2D	C0	S4	R1	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.1462107937044974	-0.27578244016111625
POLR2D	C0	S4	R2	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.1462107937044974	-0.14263072213892375
POLR2D	C0	S4	R3	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.1462107937044974	-0.8590450705431836
POLR2D	C0	S4	R4	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.1462107937044974	-0.868568564531474
POLR2D	C0	S4	R5	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.1462107937044974	-0.6806389760348464
POLR2D	C0	S4	R6	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.1462107937044974	-0.54773838955599
POLR2D	C0	S4	R7	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.1462107937044974	-0.40451201922231106
POLR2D	C0	S4	R8	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.1462107937044974	-0.516618813997235
POLR2D	C0	S4	R9	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.1462107937044974	-0.9841860466103567
POLR2D	C1	S5	R0	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.20601407094976543	-1.129410688098672
POLR2D	C1	S5	R1	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.20601407094976543	-0.9025749570515484
POLR2D	C1	S5	R2	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.20601407094976543	-1.022150938500121
POLR2D	C1	S5	R3	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.20601407094976543	-0.9157676495105928
POLR2D	C1	S5	R4	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.20601407094976543	-1.1126355140950697
POLR2D	C1	S5	R5	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.20601407094976543	-1.1083214993589972
POLR2D	C1	S5	R6	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.20601407094976543	-1.0308576073753408
POLR2D	C1	S5	R7	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.20601407094976543	-0.9861595561313465
POLR2D	C1	S5	R8	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.20601407094976543	-1.0285099415476437
POLR2D	C1	S5	R9	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.20601407094976543	-1.044368156411506
POLR2D	C1	S6	R0	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.03224172040135075	-1.0285299922823892
POLR2D	C1	S6	R1	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.03224172040135075	-0.8188847777603991
POLR2D	C1	S6	R2	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.03224172040135075	-0.8700332808262956
POLR2D	C1	S6	R3	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.03224172040135075	-0.6685007534421991
POLR2D	C1	S6	R4	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.03224172040135075	-0.6546139590442815
POLR2D	C1	S6	R5	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.03224172040135075	-0.8573662515277942
POLR2D	C1	S6	R6	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.03224172040135075	-0.9694545250426059
POLR2D	C1	S6	R7	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.03224172040135075	-1.0221436165154274
POLR2D	C1	S6	R8	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.03224172040135075	-0.8096986642117604
POLR2D	C1	S6	R9	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.03224172040135075	-0.8789295213548711
POLR2D	C1	S7	R0	POLR2D-C1	-0.5939136590841896	-0.2682421555390426	1.0	-0.03840543546684157	-0.969331985204289
