gene	condition	intervention	replicate	gene_conditions	gamma	beta	affinity	iota	readout
POLR2D	C0	C0-I0	R0	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	0.04044040394731857
POLR2D	C0	C0-I0	R1	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	-0.36599920042289175
POLR2D	C0	C0-I0	R2	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	-0.0320585231063653
POLR2D	C0	C0-I0	R3	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	0.36706325007573565
POLR2D	C0	C0-I0	R4	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	-0.24394485915601188
POLR2D	C0	C0-I0	R5	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	-0.09649124672134603
POLR2D	C0	C0-I0	R6	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	-0.24170083335315706
POLR2D	C0	C0-I0	R7	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	-0.32071730404271714
POLR2D	C0	C0-I0	R8	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	-0.23373754871176688
POLR2D	C0	C0-I0	R9	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	0.174481176421648	0.09555321724719197
POLR2D	C0	C0-I1	R0	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.7073715241221545
POLR2D	C0	C0-I1	R1	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.03150850089596957
POLR2D	C0	C0-I1	R2	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	0.6811847387504196
POLR2D	C0	C0-I1	R3	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	0.22230573048415214
POLR2D	C0	C0-I1	R4	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.2446341259853231
POLR2D	C0	C0-I1	R5	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.5925308318469338
POLR2D	C0	C0-I1	R6	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.5222954966799345
POLR2D	C0	C0-I1	R7	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	0.6975109507093576
POLR2D	C0	C0-I1	R8	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.12331247241650116
POLR2D	C0	C0-I1	R9	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	0.1	-0.07612069008951028	-0.46721417308919233
POLR2D	C0	C0-I2	R0	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.5985949452106105
POLR2D	C0	C0-I2	R1	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	0.35607488069507753
POLR2D	C0	C0-I2	R2	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.633973211303529
POLR2D	C0	C0-I2	R3	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.38545113269063397
POLR2D	C0	C0-I2	R4	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.5439675275664299
POLR2D	C0	C0-I2	R5	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.8701776107911029
POLR2D	C0	C0-I2	R6	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-1.2653117865554138
POLR2D	C0	C0-I2	R7	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.8687240487507824
POLR2D	C0	C0-I2	R8	POLR2D-C0	-0.5939136590841896	-0.13204293806586392	1.0	0.03190390960570986	-0.7984998042317326
