gene	condition	intervention	replicate	gene_conditions	gamma	beta	affinity	l	readout
POLR1B	C0	S0	R0	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.04806677261522205
POLR1B	C0	S0	R1	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.027745175172331715
POLR1B	C0	S0	R2	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.11084967386368172
POLR1B	C0	S0	R3	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.09173154208533013
POLR1B	C0	S0	R4	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.1570473033916605
POLR1B	C0	S0	R5	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.045170602601339926
POLR1B	C0	S0	R6	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.10104431906669026
POLR1B	C0	S0	R7	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.09071473469975297
POLR1B	C0	S0	R8	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.002987378600545529
POLR1B	C0	S0	R9	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.013767821103065014
POLR1B	C0	S1	R0	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.05013037381845781
POLR1B	C0	S1	R1	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.03502485211724333
POLR1B	C0	S1	R2	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.014325096158621015
POLR1B	C0	S1	R3	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.07381377171504556
POLR1B	C0	S1	R4	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.05398793928683021
POLR1B	C0	S1	R5	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.1089026923801284
POLR1B	C0	S1	R6	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.06469359860524611
POLR1B	C0	S1	R7	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.08020762413085902
POLR1B	C0	S1	R8	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.10368720360917735
POLR1B	C0	S1	R9	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.13222683413361336
POLR1B	C0	S2	R0	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.13406489489346346
POLR1B	C0	S2	R1	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.0078025010184384486
POLR1B	C0	S2	R2	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.05705196303771015
POLR1B	C0	S2	R3	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.016531500754174026
POLR1B	C0	S2	R4	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.1505433890749772
POLR1B	C0	S2	R5	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.025509284103891347
POLR1B	C0	S2	R6	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.014093421637892165
POLR1B	C0	S2	R7	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.1047933431305131
POLR1B	C0	S2	R8	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.062120758947028204
POLR1B	C0	S2	R9	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.08396105725732825
POLR1B	C0	S3	R0	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.14439757629834135
POLR1B	C0	S3	R1	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	0.012988939097684185
POLR1B	C0	S3	R2	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.049071392102744506
POLR1B	C0	S3	R3	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.07146709419631542
POLR1B	C0	S3	R4	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.12995143298562478
POLR1B	C0	S3	R5	POLR1B-C0	-0.5939136590841896	0.0713968313135647	0.1	0	-0.09430806083002445
