gene	condition	intervention	replicate	gene_conditions	gamma	beta	o	l	readout
POLR1B	C0	S0	R0	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	0.1	0.0	-0.08395748840839924
POLR1B	C0	S0	R1	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	0.1	0.0	-0.1527378285429375
POLR1B	C0	S0	R2	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	0.1	0.0	-0.06994671541925554
POLR1B	C0	S0	R3	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	0.1	0.0	0.1209872497618821
POLR1B	C0	S0	R4	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	0.1	0.0	-0.07702236863783922
POLR1B	C0	S1	R0	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	0.1	0.0	-0.027317952915260214
POLR1B	C0	S1	R1	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	0.1	0.0	-0.059021231890419384
POLR1B	C0	S1	R2	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	0.1	0.0	-0.124263248535354
POLR1B	C0	S1	R3	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	0.1	0.0	-0.20329008368821616
POLR1B	C0	S1	R4	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	0.1	0.0	-0.1239725361272899
POLR1B	C0	S2	R0	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.9112720621974991
POLR1B	C0	S2	R1	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.8317203197418016
POLR1B	C0	S2	R2	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.8064842974725708
POLR1B	C0	S2	R3	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.7972724307296656
POLR1B	C0	S2	R4	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.8618239063345955
POLR1B	C0	S3	R0	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.8018685224329485
POLR1B	C0	S3	R1	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.9658224329596866
POLR1B	C0	S3	R2	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.7650958233366926
POLR1B	C0	S3	R3	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.8390896568182205
POLR1B	C0	S3	R4	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.9201919223702929
