gene	condition	intervention	replicate	gene_conditions	gamma	beta	affinity	l	readout
POLR1B	C0	S0	R0	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.1	-0.02493703754774101	0.07435842113426966
POLR1B	C0	S0	R1	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.1	-0.02493703754774101	0.4352412326232261
POLR1B	C0	S0	R2	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.1	-0.02493703754774101	-0.46027670288209865
POLR1B	C0	S0	R3	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.1	-0.02493703754774101	-0.4721810703674616
POLR1B	C0	S0	R4	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.1	-0.02493703754774101	-0.23726908474667704
POLR1B	C0	S1	R0	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.1	0.1462107937044974	0.10000447960413181
POLR1B	C0	S1	R1	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.1	0.1462107937044974	0.2790374425212304
POLR1B	C0	S1	R2	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.1	0.1462107937044974	0.1389039490525755
POLR1B	C0	S1	R3	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.1	0.1462107937044974	-0.44555509171382657
POLR1B	C0	S1	R4	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.1	0.1462107937044974	-0.016555790914918767
POLR1B	C0	S2	R0	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.9236000394319362	-0.20601407094976543	-0.7953075546804441
POLR1B	C0	S2	R1	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.9236000394319362	-0.20601407094976543	-0.9447775314911598
POLR1B	C0	S2	R2	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.9236000394319362	-0.20601407094976543	-0.8117984202542495
POLR1B	C0	S2	R3	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.9236000394319362	-0.20601407094976543	-1.0578832509848455
POLR1B	C0	S2	R4	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.9236000394319362	-0.20601407094976543	-1.052490732564755
POLR1B	C0	S3	R0	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.8535448173817257	-0.03224172040135075	-0.7214900000014595
POLR1B	C0	S3	R1	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.8535448173817257	-0.03224172040135075	-0.6656174359464664
POLR1B	C0	S3	R2	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.8535448173817257	-0.03224172040135075	-0.7185554177168381
POLR1B	C0	S3	R3	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.8535448173817257	-0.03224172040135075	-0.7383781862966659
POLR1B	C0	S3	R4	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.8535448173817257	-0.03224172040135075	-0.9357959193207881
POLR1B	C0	S4	R0	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.7624883647365218	-0.03840543546684157	-0.601398266126764
POLR1B	C0	S4	R1	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.7624883647365218	-0.03840543546684157	-0.6653338949591345
POLR1B	C0	S4	R2	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.7624883647365218	-0.03840543546684157	-0.41341823572901387
POLR1B	C0	S4	R3	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.7624883647365218	-0.03840543546684157	-0.39605974273161704
POLR1B	C0	S4	R4	POLR1B-C0	-0.5939136590841896	-0.2682421555390426	0.7624883647365218	-0.03840543546684157	-0.6495001083360078
POLR1B	C1	S5	R0	POLR1B-C1	-0.5939136590841896	0.21635190733116963	0.8839741014788779	0.11337694423354375	-0.3141991035476518
